ASIN,Manufacturer,Description
B0BJ32LQ6X,Amazing Bags,"Backpack for Every Needs, Space & Comfort, Small Pockets"
B079KH4GDG,"ADISA INTERNATIONAL, careadisa@gmail.com","Magnetic Closure, One Main Compartment, Long Gold Chain, Light and Sleek"
NA,NA,NA
B079TQNTRJ,"Zouk, Thakur Compound, 2nd Floor, 3, USV Lane, Deonar, Mumbai, Maharashtra 400088",
B0BKSXQBXX,"The Purple Tree, thepurpletreeindia@gmail.com","Handle Reinforcement, Soft Comfortable Padded Back Design, Separate Wet Bags"
B0BKSXQBXX,"The Purple Tree, thepurpletreeindia@gmail.com","Handle Reinforcement, Soft Comfortable Padded Back Design, Separate Wet Bags"
B079DFHYHP,Wildcraft,NA
NA,NA,NA
NA,NA,"Water Resistant - Engineered with DRYE Tech, Dedicated Laptop and Tablet Compartments, Spacious Master Compartment"
B07N1CM9QS,Wildcraft,NA
NA,NA,NA
B07GCLJTZF,DAHSHA Enterprise,NA
NA,NA,"DETACHABLE SHOULDER STRAP, Padded Laptop Pocket For 15.6 inch, Large Capacity"
B09P523VYS,Optima Manufacturing Industries Private Limited,NA
B097JJGR1N,"Safari, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",NA
NA,NA,NA
B09FT31R1X,"VIP Industries Ltd, ﻿VIP Industries Ltd, DGP House, 5 th Floor, 88C Old Prabhadevi Road, Mumbai, Maharashtra - 400025; 24X7 Toll Free Helpline No. 1800-1022-256",NA
B08NYGBDB8,"Uber Fashion Merchandise Pvt Ltd, Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwanthpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","FRONT POCKET, BACK POCKET"
B09P2RP9TG,"WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604",NA
B0B21W762F,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",NA
B09NFSC3RP,NA,NA
B0B5DZ4KVD,WOLTOP INDIA PVT LTD,NA
B08VJ4VWGZ,"Shree Suppliers, Shree Suppliers, 9833712003","Water & Stain Resistant Fabric, Premium Quality Insulation, Attractive Graphics, Compact Design"
NA,NA,
NA,NA,NA
B07MXNWTB2,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",
B07XXFB9CZ,"Sfane, Sfane Trends",NA
B0BFJBYF49,SHABA BAG,NA
B09BZNTFLX,NISUN INC,"Perfect For Tablet:, Perfect For Travelling :, Multi functional Bag :"
B07QL8633G,"AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",
B06XD713N9,Wildcraft,NA
B07N2PDVX4,Wildcraft,NA
NA,NA,NA
B08RB3ZSLH,AB Amazing Bags,"CASUAL BACKPACK, Padded Back & Shoulder Straps, Spacious compartments"
B07GXYHFCY,"Rushi Enterprise, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876","Dzert Casual Backpack, Spacious Compartments, Adjustable padded shoulder straps"
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
B097KGL2M5,"Gear, Gear Merchandise Pvt Ltd, E/12 West Chowbaga Gulshan Colony, Kolkata-700100","Main compartment with organizer, Button for convertible and collapsible bag straps, Easy access front pouch with organizer"
B09KSBHC18,NA,NA
B0842582RV,"Vip Industries Ltd, VIP Industries Ltd",NA
B07FSFHFVJ,The Clownfish,"Premium Material, Spacious Compartment, Expandable Capacity, Adjustable Shoulder Strap"
B084TPL24S,"Lino Perros, Sumitsu Apparel Pvt Ltd, Plot No. 324, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","Premium Material, Sleek Design, Lino Perros, Spacious Interior"
B0B3Y27TYX,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",NA
NA,NA,
NA,NA,NA
B07MH9SL51,Zouk,
B071XJ6XV5,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590",
B09B672TX9,A. H. Creation,"Material:, Capacity:, Color:"
B07Q2DV3H1,"SAMSONITE SOUTH ASIA PVT. LTD, SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700",NA
B0B5YHC1W5,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India'.",NA
B07GXYHFCY,"Rushi Enterprise, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876","Dzert Casual Backpack, Spacious Compartments, Adjustable padded shoulder straps"
NA,NA,
B015C73FCA,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",NA
B085QX7J7R,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","FRONT COMPARTMENT, MAIN COMPARTMENT"
NA,NA,NA
B09MZCC9RD,NA,NA
B078BGYQF1,NA,NA
NA,NA,NA
B09FLVC7N6,"COSMUS BAGS PVT.LTD, 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844","Ergonomic Contoured Shape, Feather Light, Water Bottle Locking Feature"
B084TPL24S,"Lino Perros, Sumitsu Apparel Pvt Ltd, Plot No. 324, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","Premium Material, Sleek Design, Lino Perros, Spacious Interior"
NA,NA,NA
B07N1D9LX8,Wildcraft,NA
B0B1C3DSX5,NA,NA
B08R94MB16,Wooum,"Adjustable Buckle, Superior Material, Suitable For"
NA,NA,NA
B0756WRR9Z,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)","Premium Material Construction, Spacious Compartments, Incredibly Stylish"
B0B5YJ479V,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India'.",NA
B09Z2G37YY,"Saav Tex Private Limited , Kundli, Sonipat (Haryana)",NA
B085QX7J7R,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","FRONT COMPARTMENT, MAIN COMPARTMENT"
NA,NA,"Specifications, Style and Substance, Comfort First"
B0836BN4X4,Wildcraft,NA
B08X2KRL8B,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",NA
B08282QHDG,NA,NA
NA,NA,NA
B07KR6GBJW,"Lavie, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093","Adjustable Cross Body Straps, Spacious Compartment, Style and Quality"
NA,NA,NA
B0756WRR9Z,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)","Premium Material Construction, Spacious Compartments, Incredibly Stylish"
NA,NA,"Ergonomic   Contoured Shape, Fits Your   Laptop, Strong and   Lightweight"
B07L4PTRVQ,"Sumitsu Apparel Pvt Ltd, Sumitsu Apparel Pvt Ltd, Plot No. 324, Phase IV, Sector 18, Gurugram, Haryana , 122016, Ph. 0124 234 0203","Superior Workmanship, Contemporary Design, High Quality"
B08M25YYRR,"Blowzy Bags, Telangana",NA
B0B4DTMVXY,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",NA
B09BVWXBFG,"Walkent( OEM Guangzhou Leading Wolf Leather Products Co.,Ltd), walkentstore@gmail.com, Ph: 8001655655",NA
B09S14TTG6,Half_Moon,"Backpack for Every Needs, Space & Comfort, Small Pockets"
B09DF2NPCS,NA,
B0B4DTMVXY,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",NA
NA,NA,"SCHOOL / COLLEGE BAG, TRAVEL BACKPACK, GREAT GIFT CHOICE"
B09RKNNVFR,Amazing Bags,"Backpack for Every Needs, Space & Comfort, Small Pockets"
B07G44G1DC,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",NA
B09T2MRRG3,Half_Moon (AB Amazing Bags),NA
NA,NA,
B0BKSXQBXX,"The Purple Tree, thepurpletreeindia@gmail.com","Handle Reinforcement, Soft Comfortable Padded Back Design, Separate Wet Bags"
NA,NA,NA
B07N2LC749,Wildcraft,NA
B07TGQHHD8,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",NA
B0B5YHG6LX,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025, VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025",NA
B08VHBBWFK,"Luzian, dewbags143@gmail.com",NA
NA,NA,
B0B69M182Q,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",NA
NA,NA,"Multi Pockets, Fish Mouth Opening, Elastic Side Pocket, Dry & Wet Seprate"
B099FFLQ5Q,NA,NA
